N,expert_pool,flush_mb,path,comparison,transport,method,seeds,live_experts_min,live_experts_max,tokens_per_live_expert_min,tokens_per_live_expert_max,median_ms,min_ms,max_ms,standard_baseline,tma_baseline_median_ms,median_speedup_vs_tma,median_time_reduction_vs_tma_pct,transport_no_pf_baseline,median_speedup_vs_transport_no_pf,median_time_reduction_vs_transport_no_pf_pct
256,384,512,wdequant,warp_consumer,tma,pf64x4_current_lead1_tma_smem,3,382,383,1,14,32.261665,30.873055,33.103233,no_pf_tma_smem,31.636864,0.979776,-2.0641,no_pf_tma_smem,0.979776,-2.0641
256,384,512,wdequant,warp_consumer,tma,pf64x4_current_wait0_lead1_async_tma_smem,3,382,383,1,14,32.415169,31.016672,33.351311,no_pf_tma_smem,31.636864,0.973838,-2.6865,no_pf_tma_smem,0.973838,-2.6865
256,384,512,wdequant,warp_consumer,warp_direct,no_pf_direct,3,382,383,1,14,32.407295,31.034496,32.966625,no_pf_tma_smem,31.636864,0.976227,-2.4352,no_pf_direct,1.000000,0.0000
256,384,512,wdequant,warp_consumer,warp_direct,pf128_current_direct,3,382,383,1,14,32.151344,30.591438,32.432640,no_pf_tma_smem,31.636864,0.987374,-1.2787,no_pf_direct,1.014483,1.4276
256,384,512,wdequant,warp_consumer,warp_direct,pf128x2_current_lead1_direct,3,382,383,1,14,31.725471,30.228176,32.179790,no_pf_tma_smem,31.636864,0.999240,-0.0761,no_pf_direct,1.024451,2.3868
256,384,512,wdequant,warp_consumer,warp_direct,pf32x4_current_direct,3,382,383,1,14,32.045856,30.468784,32.291214,no_pf_tma_smem,31.636864,0.991349,-0.8726,no_pf_direct,1.018567,1.8228
256,384,512,wdequant,warp_consumer,warp_direct,pf32x4_current_wait0_direct,3,382,383,1,14,32.067680,30.497488,32.328545,no_pf_tma_smem,31.636864,0.990416,-0.9677,no_pf_direct,1.017608,1.7304
256,384,512,wdequant,warp_consumer,warp_direct,pf64x2_current_direct,3,382,383,1,14,32.160957,30.604544,32.432320,no_pf_tma_smem,31.636864,0.986951,-1.3221,no_pf_direct,1.014049,1.3854
256,384,512,wdequant,warp_consumer,warp_direct,pf64x4_current_lead1_direct,3,382,383,1,14,32.055794,30.507473,32.370178,no_pf_tma_smem,31.636864,0.990092,-1.0007,no_pf_direct,1.017275,1.6982
256,384,512,wdequant,warp_consumer,warp_direct,pf64x4_current_wait0_lead1_async_direct,3,382,383,1,14,32.002625,30.494225,32.407921,no_pf_tma_smem,31.636864,0.990522,-0.9569,no_pf_direct,1.017240,1.6948
