gpu,sms,path,method,transport,pipeline,comparison,destination,pf_shape,routing,route_seed,repeats,flush_mb,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,X_packed_bytes,X_smem_read_bytes,X_smem_write_bytes,pf_requested_bytes,pipeline_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,X_packed_GBps,X_smem_read_GBps,X_smem_write_GBps,pf_requested_GBps,pipeline_requested_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf32x4_current_tma_smem,tma,tma_raw_smem_warp32_shared_consumer,warp_consumer,smem_then_rmem,4x32B_current_thread_groups,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.992192,6929977,1556086784,194510848,3670016,117440512,3670016,0,117440512,3670016,3670016,1879048192,1.226531,39.248989,1.226531,0.000000,39.248989,1.226531,1.226531,627.983824,0x3ae9471344d8ca50
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf32x4_current_wait0_tma_smem,tma,tma_raw_smem_warp32_shared_consumer,warp_consumer,smem_then_rmem,4x32B_current_thread_groups_wait0,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,3.153504,7165175,1556086784,194510848,3670016,117440512,3670016,0,117440512,3670016,3670016,1879048192,1.163790,37.241277,1.163790,0.000000,37.241277,1.163790,1.163790,595.860432,0x3ae9471344d8ca50
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_direct,warp_direct,warp32_global_actcomp_sink_diagnostic,actcomp_warp_diagnostic,rmem_sink,none,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.265984,5281817,1556086784,194510848,3670016,117440512,117440512,0,0,0,0,1868038144,1.619612,51.827599,51.827599,0.000000,0.000000,0.000000,0.000000,824.382739,0x7b1659b2f89d5909
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_direct,warp_direct,warp32_global_actcomp_sink_diagnostic,actcomp_warp_diagnostic,rmem_sink,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.256048,5260583,1556086784,194510848,3670016,117440512,117440512,0,0,0,3670016,1871708160,1.626745,52.055852,52.055852,0.000000,0.000000,0.000000,1.626745,829.640146,0x7b1659b2f89d5909
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x2_current_direct,warp_direct,warp32_global_actcomp_sink_diagnostic,actcomp_warp_diagnostic,rmem_sink,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.262144,5269336,1556086784,194510848,3670016,117440512,117440512,0,0,0,3670016,1871708160,1.622362,51.915575,51.915575,0.000000,0.000000,0.000000,1.622362,827.404483,0x7b1659b2f89d5909
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128x2_current_lead1_direct,warp_direct,warp32_global_actcomp_sink_diagnostic,actcomp_warp_diagnostic,rmem_sink,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.262512,5248356,1556086784,194510848,3670016,117440512,117440512,0,0,0,7307264,1875345408,1.622098,51.907134,51.907134,0.000000,0.000000,0.000000,3.229713,828.877564,0x7b1659b2f89d5909
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x4_current_lead1_direct,warp_direct,warp32_global_actcomp_sink_diagnostic,actcomp_warp_diagnostic,rmem_sink,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.277840,5288212,1556086784,194510848,3670016,117440512,117440512,0,0,0,7307264,1875345408,1.611182,51.557838,51.557838,0.000000,0.000000,0.000000,3.207979,823.299834,0x7b1659b2f89d5909
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x4_current_wait0_lead1_async_direct,warp_direct,warp32_global_actcomp_sink_diagnostic,actcomp_warp_diagnostic,rmem_sink,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.302608,5364928,1556086784,194510848,3670016,117440512,117440512,0,0,0,7307264,1875345408,1.593852,51.003259,51.003259,0.000000,0.000000,0.000000,3.173473,814.444055,0x7b1659b2f89d5909
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,none,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.079344,4815608,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,0,1763672064,1.764987,1.764987,1.764987,0.496403,2.261390,2.261390,0.000000,848.186753,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.110528,4866133,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1767342080,1.738909,1.738909,1.738909,0.489068,2.227977,2.227977,1.738909,837.393338,0x6de879f08627afd3
