gpu,sms,path,method,destination,pf_shape,routing,route_seed,repeats,flush_mb,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,pf_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,pf_requested_GBps,total_useful_GBps,total_consumer_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_wait0_lead1_async_direct,rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,3.087344,6183916,3758096384,469762048,58720256,1879048192,1879048192,116916224,19.019668,608.629370,608.629370,37.869517,1388.435750,1978.045453,0xd10ad7613ee0711d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,no_pf_tma_smem,smem_then_rmem,none,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,3.027344,6264575,3758096384,469762048,58720256,1879048192,58720256,0,19.396625,620.691999,19.396625,0.000000,1415.953623,2017.248997,0xd10ad7613ee0711d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128_current_tma_smem,smem_then_rmem,1x128B_current,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,3.055216,6210365,3758096384,469762048,58720256,1879048192,58720256,58720256,19.219675,615.029606,19.219675,19.219675,1403.036289,1998.846220,0xd10ad7613ee0711d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x2_current_tma_smem,smem_then_rmem,2x64B_current,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,3.063104,6192553,3758096384,469762048,58720256,1879048192,58720256,58720256,19.170179,613.445739,19.170179,19.170179,1399.423093,1993.698653,0xd10ad7613ee0711d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128x2_current_lead1_tma_smem,smem_then_rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,3.088800,6214735,3758096384,469762048,58720256,1879048192,58720256,116916224,19.010702,608.342470,19.010702,37.851666,1387.781259,1977.113026,0xd10ad7613ee0711d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_lead1_tma_smem,smem_then_rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,3.115760,6241281,3758096384,469762048,58720256,1879048192,58720256,116916224,18.846207,603.078633,18.846207,37.524145,1375.773132,1960.005558,0xd10ad7613ee0711d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_wait0_lead1_async_tma_smem,smem_then_rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,3.083040,6178450,3758096384,469762048,58720256,1879048192,58720256,116916224,19.046219,609.479018,19.046219,37.922383,1390.374011,1980.806810,0xd10ad7613ee0711d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,no_pf_direct,rmem,none,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,6.895552,8519304,3758096384,469762048,58720256,1879048192,1879048192,0,8.515672,272.501502,272.501502,0.000000,621.644052,885.629882,0xc8d748c2f6bafec6
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128_current_direct,rmem,1x128B_current,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,6.284416,7805729,3758096384,469762048,58720256,1879048192,1879048192,58720256,9.343789,299.001233,299.001233,9.343789,682.096563,971.754007,0xc8d748c2f6bafec6
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x2_current_direct,rmem,2x64B_current,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,6.164336,7195837,3758096384,469762048,58720256,1879048192,1879048192,58720256,9.525804,304.825715,304.825715,9.525804,695.383663,990.683574,0xc8d748c2f6bafec6
