gpu,sms,path,method,transport,pipeline,comparison,destination,pf_shape,routing,route_seed,repeats,flush_mb,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,X_packed_bytes,X_smem_read_bytes,X_smem_write_bytes,pf_requested_bytes,pipeline_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,X_packed_GBps,X_smem_read_GBps,X_smem_write_GBps,pf_requested_GBps,pipeline_requested_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups,uniform_hash_scattered_pool,0xbb67ae85,20,0,384,8,2048,7168,8,128,52,64,1,3,1.913584,4413318,1526726656,190840832,3670016,3670016,3670016,1032192,1032192,1032192,3670016,1726971904,1.917876,1.917876,1.917876,0.539403,0.539403,0.539403,1.917876,902.480325,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_wait0_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups_wait0,uniform_hash_scattered_pool,0xbb67ae85,20,0,384,8,2048,7168,8,128,52,64,1,3,1.971552,4634103,1526726656,190840832,3670016,3670016,3670016,1032192,1032192,1032192,3670016,1726971904,1.861486,1.861486,1.861486,0.523543,0.523543,0.523543,1.861486,875.945393,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,none,uniform_hash_scattered_pool,0xbb67ae85,20,128,384,8,2048,7168,8,128,52,64,1,3,2.059136,4746207,1526726656,190840832,3670016,3670016,3670016,1032192,4702208,4702208,0,1730641920,1.782309,1.782309,1.782309,0.501274,2.283583,2.283583,0.000000,840.469980,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,1x128B_current,uniform_hash_scattered_pool,0xbb67ae85,20,128,384,8,2048,7168,8,128,52,64,1,3,2.090528,4803663,1526726656,190840832,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1734311936,1.755545,1.755545,1.755545,0.493747,2.249292,2.249292,1.755545,829.604735,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x2_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,2x64B_current,uniform_hash_scattered_pool,0xbb67ae85,20,128,384,8,2048,7168,8,128,52,64,1,3,2.077584,4777958,1526726656,190840832,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1734311936,1.766483,1.766483,1.766483,0.496823,2.263306,2.263306,1.766483,834.773425,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups,uniform_hash_scattered_pool,0xbb67ae85,20,128,384,8,2048,7168,8,128,52,64,1,3,2.068144,4747572,1526726656,190840832,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1734311936,1.774546,1.774546,1.774546,0.499091,2.273637,2.273637,1.774546,838.583806,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_wait0_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups_wait0,uniform_hash_scattered_pool,0xbb67ae85,20,128,384,8,2048,7168,8,128,52,64,1,3,2.120992,4923887,1526726656,190840832,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1734311936,1.730330,1.730330,1.730330,0.486655,2.216985,2.216985,1.730330,817.689072,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,none,uniform_hash_scattered_pool,0xbb67ae85,20,128,384,8,2048,7168,8,128,52,64,1,3,1.923936,4428950,1526726656,190840832,3670016,3670016,3670016,1032192,1032192,1032192,0,1723301888,1.907556,1.907556,1.907556,0.536500,0.536500,0.536500,0.000000,895.716843,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,1x128B_current,uniform_hash_scattered_pool,0xbb67ae85,20,128,384,8,2048,7168,8,128,52,64,1,3,1.932160,4434030,1526726656,190840832,3670016,3670016,3670016,1032192,1032192,1032192,3670016,1726971904,1.899437,1.899437,1.899437,0.534217,0.534217,0.534217,1.899437,893.803822,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups,uniform_hash_scattered_pool,0xbb67ae85,20,128,384,8,2048,7168,8,128,52,64,1,3,1.938016,4466192,1526726656,190840832,3670016,3670016,3670016,1032192,1032192,1032192,3670016,1726971904,1.893697,1.893697,1.893697,0.532602,0.532602,0.532602,1.893697,891.102990,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_wait0_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups_wait0,uniform_hash_scattered_pool,0xbb67ae85,20,128,384,8,2048,7168,8,128,52,64,1,3,2.010368,4671897,1526726656,190840832,3670016,3670016,3670016,1032192,1032192,1032192,3670016,1726971904,1.825544,1.825544,1.825544,0.513434,0.513434,0.513434,1.825544,859.032782,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,none,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,8,2048,7168,8,128,52,64,1,3,2.066864,4775062,1526726656,190840832,3670016,3670016,3670016,1032192,4702208,4702208,0,1730641920,1.775645,1.775645,1.775645,0.499400,2.275045,2.275045,0.000000,837.327424,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,1x128B_current,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,8,2048,7168,8,128,52,64,1,3,2.086272,4826695,1526726656,190840832,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1734311936,1.759126,1.759126,1.759126,0.494754,2.253881,2.253881,1.759126,831.297134,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x2_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,2x64B_current,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,8,2048,7168,8,128,52,64,1,3,2.076960,4780126,1526726656,190840832,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1734311936,1.767013,1.767013,1.767013,0.496972,2.263986,2.263986,1.767013,835.024201,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,8,2048,7168,8,128,52,64,1,3,2.060832,4757491,1526726656,190840832,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1734311936,1.780842,1.780842,1.780842,0.500862,2.281704,2.281704,1.780842,841.559097,0x2cdba7fdae33534b
