N,expert_pool,flush_mb,path,comparison,transport,method,seeds,live_experts_min,live_experts_max,tokens_per_live_expert_min,tokens_per_live_expert_max,median_ms,min_ms,max_ms,standard_baseline,tma_baseline_median_ms,median_speedup_vs_tma,median_time_reduction_vs_tma_pct,transport_no_pf_baseline,median_speedup_vs_transport_no_pf,median_time_reduction_vs_transport_no_pf_pct
256,384,128,actcomp,actcomp_packed_smem_producer,tma,pf128_current_tma_smem,3,382,383,1,14,10.043712,10.031488,10.085983,no_pf_tma_smem,10.452991,1.040750,3.9154,no_pf_tma_smem,1.040750,3.9154
256,384,128,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_tma_smem,3,382,383,1,14,9.958609,9.923248,9.994944,no_pf_tma_smem,10.452991,1.049644,4.7296,no_pf_tma_smem,1.049644,4.7296
256,384,128,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_wait0_tma_smem,3,382,383,1,14,10.114767,10.083967,10.123744,no_pf_tma_smem,10.452991,1.033439,3.2357,no_pf_tma_smem,1.033439,3.2357
256,384,128,actcomp,actcomp_packed_smem_producer,tma,pf64x2_current_tma_smem,3,382,383,1,14,9.950975,9.934432,9.989489,no_pf_tma_smem,10.452991,1.050449,4.8026,no_pf_tma_smem,1.050449,4.8026
256,384,512,actcomp,actcomp_packed_smem_producer,cta_nc,no_pf_cta_nc_actcomp_smem,3,382,383,1,14,10.312352,10.304960,10.319857,no_pf_tma_smem,10.439968,1.011639,1.1505,no_pf_cta_nc_actcomp_smem,1.000000,0.0000
256,384,512,actcomp,actcomp_packed_smem_producer,cta_nc,pf128_current_cta_nc_actcomp_smem,3,382,383,1,14,10.163200,10.152544,10.165695,no_pf_tma_smem,10.439968,1.027232,2.6510,no_pf_cta_nc_actcomp_smem,1.015013,1.4791
256,384,512,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_cta_nc_actcomp_smem,3,382,383,1,14,9.913680,9.697648,9.987265,no_pf_tma_smem,10.439968,1.050035,4.7651,no_pf_cta_nc_actcomp_smem,1.040214,3.8660
256,384,512,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_wait0_cta_nc_actcomp_smem,3,382,383,1,14,10.164768,10.153056,10.180256,no_pf_tma_smem,10.439968,1.027074,2.6360,no_pf_cta_nc_actcomp_smem,1.014961,1.4741
256,384,512,actcomp,actcomp_packed_smem_producer,tma,no_pf_tma_smem,3,382,383,1,14,10.439968,10.391008,10.486976,no_pf_tma_smem,10.439968,1.000000,0.0000,no_pf_tma_smem,1.000000,0.0000
256,384,512,actcomp,actcomp_packed_smem_producer,tma,pf128_current_tma_smem,3,382,383,1,14,10.058624,10.044111,10.060287,no_pf_tma_smem,10.439968,1.037741,3.6368,no_pf_tma_smem,1.037741,3.6368
256,384,512,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_tma_smem,3,382,383,1,14,9.961088,9.927649,10.001743,no_pf_tma_smem,10.439968,1.048075,4.5870,no_pf_tma_smem,1.048075,4.5870
256,384,512,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_wait0_tma_smem,3,382,383,1,14,10.123248,10.095296,10.128560,no_pf_tma_smem,10.439968,1.031286,3.0337,no_pf_tma_smem,1.031286,3.0337
256,384,512,actcomp,actcomp_packed_smem_producer,tma,pf64x2_current_tma_smem,3,382,383,1,14,9.955808,9.952831,9.998016,no_pf_tma_smem,10.439968,1.048631,4.6376,no_pf_tma_smem,1.048631,4.6376
512,128,0,actcomp,actcomp_packed_smem_producer,cta_nc,no_pf_cta_nc_actcomp_smem,3,128,128,18,50,3.952144,3.950160,3.965664,no_pf_tma_smem,4.185328,1.058315,5.5101,no_pf_cta_nc_actcomp_smem,1.000000,0.0000
512,128,0,actcomp,actcomp_packed_smem_producer,cta_nc,pf128_current_cta_nc_actcomp_smem,3,128,128,18,50,4.042784,4.025952,4.085024,no_pf_tma_smem,4.185328,1.035259,3.4058,no_pf_cta_nc_actcomp_smem,0.980924,-1.9447
512,128,0,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_cta_nc_actcomp_smem,3,128,128,18,50,4.099280,4.083680,4.110192,no_pf_tma_smem,4.185328,1.021502,2.1050,no_pf_cta_nc_actcomp_smem,0.964837,-3.6445
512,128,0,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_wait0_cta_nc_actcomp_smem,3,128,128,18,50,4.069472,4.049104,4.072864,no_pf_tma_smem,4.185328,1.028985,2.8168,no_pf_cta_nc_actcomp_smem,0.973679,-2.7032
512,128,0,actcomp,actcomp_packed_smem_producer,tma,no_pf_tma_smem,3,128,128,18,50,4.185328,4.180512,4.187424,no_pf_tma_smem,4.185328,1.000000,0.0000,no_pf_tma_smem,1.000000,0.0000
512,128,0,actcomp,actcomp_packed_smem_producer,tma,pf128_current_tma_smem,3,128,128,18,50,4.173392,4.147856,4.173888,no_pf_tma_smem,4.185328,1.003243,0.3233,no_pf_tma_smem,1.003243,0.3233
512,128,0,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_tma_smem,3,128,128,18,50,4.106208,4.103840,4.128976,no_pf_tma_smem,4.185328,1.019779,1.9395,no_pf_tma_smem,1.019779,1.9395
512,128,0,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_wait0_tma_smem,3,128,128,18,50,4.170976,4.162288,4.184352,no_pf_tma_smem,4.185328,1.002286,0.2281,no_pf_tma_smem,1.002286,0.2281
512,128,0,actcomp,actcomp_packed_smem_producer,tma,pf64x2_current_tma_smem,3,128,128,18,50,4.117376,4.111616,4.117728,no_pf_tma_smem,4.185328,1.016504,1.6236,no_pf_tma_smem,1.016504,1.6236
512,128,128,actcomp,actcomp_packed_smem_producer,cta_nc,no_pf_cta_nc_actcomp_smem,3,128,128,18,50,3.989808,3.979680,3.993024,no_pf_tma_smem,4.205504,1.053642,5.0911,no_pf_cta_nc_actcomp_smem,1.000000,0.0000
512,128,128,actcomp,actcomp_packed_smem_producer,cta_nc,pf128_current_cta_nc_actcomp_smem,3,128,128,18,50,4.091552,4.039824,4.092256,no_pf_tma_smem,4.205504,1.028269,2.7492,no_pf_cta_nc_actcomp_smem,0.975919,-2.4675
512,128,128,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_cta_nc_actcomp_smem,3,128,128,18,50,4.096160,4.093632,4.109552,no_pf_tma_smem,4.205504,1.026694,2.6000,no_pf_cta_nc_actcomp_smem,0.971564,-2.9269
512,128,128,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_wait0_cta_nc_actcomp_smem,3,128,128,18,50,4.083648,4.059824,4.087728,no_pf_tma_smem,4.205504,1.030259,2.9370,no_pf_cta_nc_actcomp_smem,0.977808,-2.2696
